tx_brate downlink (kbps),tx_pkts downlink,rx_brate uplink (kbps),rx_pkts uplink,slice_target
1005.6899999999999,110.0,0.0,0.0,1
980.337,136.0,100.0,7.0,1
999.871,102.0,0.0,0.0,1
1233.77,151.0,100.0,2.0,1
982.94,150.0,100.0,2.0,1
1100.59,123.0,0.0,0.0,1
1062.5500000000002,124.0,100.0,3.0,1
978.8919999999999,105.0,0.0,0.0,1
987.309,103.0,100.0,3.0,1
1417.19,150.0,0.0,0.0,1
976.675,105.0,0.0,0.0,1
1069.49,108.0,100.0,3.0,1
663.036,129.0,0.0,1.0,1
1096.6100000000001,111.0,0.0,0.0,1
1017.35,112.0,0.0,0.0,1
1013.49,128.0,0.0,0.0,1
874.464,115.0,0.0,0.0,1
1000.1,145.0,100.0,2.0,1
978.635,108.0,100.0,1.0,1
987.888,109.0,100.0,1.0,1
717.173,118.0,0.0,0.0,1
989.0759999999999,135.0,0.0,0.0,1
988.7869999999999,122.0,100.0,1.0,1
978.795,125.0,100.0,1.0,1
977.6709999999999,104.0,0.0,0.0,1
1062.8500000000001,139.0,100.0,1.0,1
959.711,107.0,0.0,4.0,1
986.795,114.0,100.0,3.0,1
974.24,122.0,100.0,1.0,1
997.12,109.0,100.0,2.0,1
1056.71,149.0,100.0,1.0,1
967.647,109.0,0.0,0.0,1
986.602,108.0,0.0,0.0,1
978.816,112.0,100.0,1.0,1
979.759,108.0,100.0,3.0,1
988.112,113.0,0.0,0.0,1
988.819,147.0,0.0,0.0,1
886.104,153.0,0.0,0.0,1
974.908,132.0,0.0,0.0,1
1019.6899999999999,146.0,100.0,4.0,1
991.968,145.0,100.0,1.0,1
803.5020000000001,161.0,100.0,1.0,1
1064.3899999999999,154.0,0.0,0.0,1
962.016,156.0,0.0,0.0,1
985.125,140.0,0.0,0.0,1
985.735,161.0,0.0,0.0,1
1044.27,151.0,0.0,0.0,1
990.265,161.0,0.0,0.0,1
943.1,160.0,0.0,0.0,1
1000.2599999999999,175.0,0.0,0.0,1
1041.86,160.0,0.0,0.0,1
1011.92,155.0,0.0,0.0,1
987.9839999999999,157.0,0.0,0.0,1
1041.45,153.0,0.0,0.0,1
1006.3899999999999,176.0,0.0,0.0,1
993.382,173.0,100.0,1.0,1
991.807,148.0,0.0,0.0,1
994.9879999999999,159.0,0.0,0.0,1
1049.95,167.0,0.0,0.0,1
997.2370000000001,151.0,0.0,0.0,1
918.137,156.0,0.0,0.0,1
963.02,144.0,0.0,0.0,1
956.466,156.0,0.0,0.0,1
966.49,134.0,0.0,0.0,1
947.68,129.0,0.0,0.0,1
974.656,134.0,0.0,0.0,1
987.855,106.0,100.0,3.0,1
4.85141,5.0,100.0,10.0,2
11.0522,7.0,100.0,11.0,2
25.1566,14.0,0.0,0.0,2
12.498000000000001,18.0,0.0,0.0,2
14.6827,8.0,0.0,0.0,2
2.6988,12.0,0.0,0.0,2
13.9116,6.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
23.0683,21.0,0.0,0.0,2
10.666699999999999,4.0,0.0,0.0,2
5.39759,9.0,0.0,0.0,2
20.112399999999997,12.0,0.0,0.0,2
21.5904,9.0,0.0,0.0,2
5.94378,1.0,0.0,0.0,2
16.1285,6.0,0.0,0.0,2
11.9518,14.0,0.0,0.0,2
26.988000000000003,11.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
16.0,6.0,0.0,0.0,2
16.0321,6.0,0.0,0.0,2
17.9277,21.0,0.0,0.0,2
28.112499999999997,27.0,0.0,0.0,2
26.6024,9.0,0.0,0.0,2
11.8233,6.0,0.0,0.0,2
10.666699999999999,4.0,0.0,0.0,2
5.33333,2.0,0.0,0.0,2
16.0,6.0,0.0,0.0,2
10.8594,6.0,0.0,0.0,2
10.666699999999999,4.0,0.0,0.0,2
16.0,6.0,0.0,0.0,2
15.9679,5.0,0.0,0.0,2
14.5542,26.0,0.0,0.0,2
16.2892,8.0,0.0,0.0,2
11.0201,7.0,0.0,0.0,2
10.666699999999999,4.0,0.0,0.0,2
10.9558,6.0,0.0,0.0,2
10.8273,5.0,0.0,0.0,2
16.3534,9.0,0.0,0.0,2
16.4177,9.0,0.0,0.0,2
11.1165,8.0,0.0,0.0,2
26.666700000000002,10.0,0.0,0.0,2
16.4819,10.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
50.7952,8.0,100.0,6.0,1
6.58635,4.0,100.0,10.0,1
16.3855,8.0,0.0,0.0,3
15.004,11.0,0.0,0.0,3
51.7269,46.0,0.0,0.0,3
27.1486,13.0,0.0,0.0,3
21.3333,8.0,0.0,0.0,3
50.0884,33.0,0.0,0.0,3
38.1687,20.0,0.0,0.0,3
43.8876,25.0,0.0,0.0,3
54.8112,33.0,0.0,0.0,3
33.3494,24.0,0.0,0.0,3
45.076299999999996,36.0,0.0,0.0,3
45.3333,35.0,0.0,0.0,3
22.7791,19.0,0.0,0.0,3
33.8313,25.0,0.0,0.0,3
21.8153,10.0,0.0,0.0,3
44.241,21.0,0.0,0.0,3
57.51,52.0,0.0,0.0,3
45.8474,39.0,0.0,0.0,3
42.570299999999996,15.0,0.0,0.0,3
53.654599999999995,47.0,0.0,0.0,3
32.5141,15.0,0.0,0.0,3
37.140600000000006,13.0,0.0,0.0,3
41.7671,45.0,0.0,0.0,3
41.632000000000005,25.0,0.0,0.0,3
